Year,Title,Gross
2014,Birdman,"$42,340,598"
2014,The Grand Budapest Hotel,"$59,100,318"
2014,Whiplash,"$13,092,000"
2014,The Imitation Game,"$91,125,683"
2014,American Sniper,"$350,126,372"
2014,Boyhood,"$25,352,281"
2014,The Theory of Everything,"$35,893,537"
2014,Interstellar,"$188,020,017"
2014,Ida,"$3,827,060"
2014,Selma,"$52,076,908"
2014,Citizenfour,"$2,800,870"
2014,Big Hero 6,"$222,527,828"
2014,Still Alice,"$18,754,371"
2014,Foxcatcher,"$12,096,300"
2014,Mr. Turner,"$3,958,500"
2014,Unbroken,"$115,637,895"
2014,Into the Woods,"$128,002,372"
2014,Inherent Vice,"$8,110,975"
2014,Guardians of the Galaxy,"$333,176,600"
2014,Wild (2014),"$37,880,356"
2014,The Boxtrolls,"$50,837,305"
2014,Gone Girl,"$167,767,189"
2014,The LEGO Movie,"$257,760,692"
2014,Last Days in Vietnam,"$466,114"
2014,Tangerines,"$144,501"
2014,How to Train Your Dragon 2,"$177,002,924"
2014,Begin Again,"$16,170,632"
2014,Dawn of the Planet of the Apes,"$208,545,589"
2014,Timbuktu,"$1,076,075"
2014,The Tale of The Princess Kaguya,"$703,232"
2014,The Judge,"$47,119,388"
2014,Beyond the Lights,"$14,618,727"
2014,Captain America: The Winter Soldier,"$259,766,572"
2014,Song of the Sea,"$857,522"
2014,Glen Campbell... I'll Be Me,"$365,422"
2014,"Two Days, One Night","$1,433,853"
2014,X-Men: Days of Future Past,"$233,921,534"
2014,Finding Vivian Maier,"$1,514,782"
2014,Leviathan (2014),"$1,092,800"
2014,Nightcrawler,"$32,381,217"
2014,The Hobbit: The Battle of the Five Armies,"$255,119,788"
2014,The Salt of the Earth,"$1,343,349"
2014,Maleficent,"$241,410,378"
2014,Wild Tales,"$3,106,530"
2013,Gravity,"$274,092,705"
2013,12 Years a Slave,"$56,671,993"
2013,Dallas Buyers Club,"$27,298,285"
2013,Frozen,"$400,738,009"
2013,The Great Gatsby (2013),"$144,840,419"
2013,Her (2013),"$25,568,251"
2013,Blue Jasmine,"$33,405,481"
2013,The Great Beauty,"$2,852,400"
2013,20 Feet from Stardom,"$4,946,445"
2013,American Hustle,"$150,117,807"
2013,Nebraska,"$17,654,912"
2013,Captain Phillips,"$107,100,855"
