"DirectedMovieId";"DirectorId";"MovieId"
1;1;1
2;2;2
3;3;3
4;4;4
5;5;5
6;6;6
7;7;7
8;8;8
9;9;9
10;10;10
11;11;11
12;12;12
13;13;13
14;14;14
15;15;15
16;16;16
17;17;17
18;18;18
19;19;19
20;20;20
30;1;30
31;2;31
32;3;32
33;4;33
34;5;34
35;6;35
36;7;36
37;8;37
38;9;38
39;10;39
40;11;40
41;12;41
42;13;42
43;14;43
44;15;44
45;16;45
46;17;46
47;18;47
48;19;48
49;20;49
50;30;50
51;31;51
52;32;52
53;33;53
54;34;54
55;35;55
56;36;56
57;37;57
58;38;58
59;39;59
60;40;60
61;41;61
62;42;62
63;43;63
64;44;64
65;45;65
66;46;66
67;47;67
68;48;68
69;1;69
70;49;70
71;50;71
72;51;72
73;52;73
74;47;74
75;53;75
76;54;76
77;55;77
78;56;78
79;57;79
80;58;80
81;59;81
82;60;82
83;61;83
84;62;84
85;63;85
86;64;86
87;65;87
88;66;88
89;67;89
90;68;90
91;69;91
92;70;92
93;71;93
94;7;94
95;72;95
96;73;96
97;74;97
98;75;98
99;76;99
100;77;100
101;64;101
102;78;102
103;79;103
104;47;104
105;80;105
106;81;106
107;82;107
108;83;108
109;84;109
110;85;110
111;86;111
112;87;112
113;88;113
114;89;114
115;90;115
116;91;116
117;92;117
118;13;118
119;93;119
120;94;120
121;95;121
122;96;122
123;97;123
124;8;124
125;98;125
126;11;126
127;99;127
128;100;128
129;60;129
130;101;130
131;53;131
132;102;132
133;97;133
134;103;134
135;104;135
136;105;136
137;106;137
138;107;138
139;108;139
140;6;140
141;109;141
142;110;142
143;10;143
144;111;144
145;112;145
146;113;146
147;114;147
148;15;148
149;115;149
150;116;150
151;117;151
152;118;152
153;119;153
154;120;154
155;1;155
156;61;156
157;73;157
158;72;158
159;121;159
160;122;160
161;50;161
162;123;162
163;124;163
164;125;164
165;79;165
166;126;166
167;127;167
168;128;168
169;129;169
170;130;170
171;131;171
172;73;172
173;132;173
174;133;174
175;134;175
176;135;176
177;136;177
178;137;178
179;60;179
180;138;180
181;139;181
182;140;182
183;141;183
184;142;184
185;127;185
186;78;186
187;143;187
188;144;188
189;145;189
190;146;190
191;147;191
192;148;192
193;149;193
194;150;194
195;151;195
196;152;196
197;153;197
198;154;198
199;1;199
200;155;200
201;156;201
202;157;202
203;158;203
204;134;204
205;159;205
206;160;206
207;161;207
208;162;208
209;163;209
210;164;210
211;39;211
212;135;212
213;165;213
214;47;214
215;166;215
216;91;216
217;167;217
218;135;218
219;132;219
220;168;220
221;169;221
222;170;222
223;171;223
224;172;224
225;173;225
226;174;226
227;175;227
228;176;228
229;177;229
230;178;230
231;5;231
232;179;232
233;85;233
234;180;234
235;181;235
236;109;236
237;182;237
238;183;238
239;86;239
240;61;240
241;184;241
242;185;242
243;186;243
244;187;244
245;11;245
246;188;246
247;189;247
248;190;248
249;34;249
250;127;250
251;191;251
252;192;252
253;123;253
254;193;254
255;52;255
256;194;256
257;195;257
258;196;258
259;197;259
260;198;260
261;199;261
262;200;262
263;201;263
264;202;264
265;203;265
266;127;266
267;204;267
268;205;268
269;206;269
270;86;270
271;151;271
272;207;272
273;208;273
274;209;274
275;210;275
276;211;276
277;212;277
278;1;278
279;73;279
280;213;280
281;214;281
282;85;282
283;134;283
284;215;284
285;216;285
286;158;286
287;217;287
288;167;288
289;218;289
290;219;290
291;169;291
292;220;292
293;221;293
294;222;294
295;97;295
296;127;296
297;79;297
298;61;298
299;223;299
300;224;300
301;225;301
302;226;302
303;227;303
304;228;304
305;202;305
306;207;306
307;56;307
308;229;308
309;230;309
310;231;310
311;78;311
312;232;312
313;233;313
314;234;314
315;235;315
316;56;316
317;143;317
318;236;318
319;153;319
320;168;320
321;237;321
322;238;322
323;56;323
324;239;324
325;240;325
326;241;326
327;242;327
328;123;328
329;243;329
330;185;330
331;244;331
332;245;332
333;246;333
334;148;334
335;247;335
336;248;336
337;195;337
338;92;338
339;249;339
340;126;340
341;250;341
342;251;342
343;252;343
344;253;344
345;254;345
346;255;346
347;256;347
348;257;348
349;258;349
350;259;350
351;183;351
352;260;352
353;261;353
354;104;354
355;262;355
356;130;356
357;263;357
358;189;358
359;264;359
360;265;360
361;162;361
362;68;362
363;227;363
364;201;364
365;266;365
366;184;366
367;267;367
368;268;368
369;177;369
370;269;370
371;270;371
372;45;372
373;271;373
374;214;374
375;167;375
376;272;376
377;273;377
378;1;378
379;274;379
380;275;380
381;276;381
382;1;382
383;277;383
384;85;384
385;278;385
386;279;386
387;229;387
388;79;388
389;20;389
390;280;390
391;281;391
392;220;392
393;97;393
394;282;394
395;234;395
396;97;396
397;283;397
398;284;398
399;285;399
400;285;400
401;286;401
402;216;402
403;287;403
404;288;404
405;289;405
406;290;406
407;93;407
408;291;408
409;292;409
410;293;410
411;294;411
412;195;412
413;295;413
414;296;414
415;98;415
416;85;416
417;297;417
418;298;418
419;72;419
420;299;420
421;300;421
422;301;422
423;302;423
424;145;424
425;303;425
426;304;426
