"DirectorId";"FirstName";"LastName";"DoB";"Profile";"Gender"
"1";"Ridley";"Scott";"0000-00-00";"";""
"2";"Baltasar";"Kormákur";"0000-00-00";"";""
"3";"Nancy";"Meyers";"0000-00-00";"";""
"4";"Genndy";"Tartakovsky";"0000-00-00";"";""
"5";"M.";"Shyamalan";"0000-00-00";"";""
"6";"George";"Miller";"0000-00-00";"";""
"7";"Alejandro";"Iñárritu";"0000-00-00";"";""
"8";"J.J.";"Abrams";"0000-00-00";"";""
"9";"Joss";"Whedon";"0000-00-00";"";""
"10";"Joe";"Wright";"0000-00-00";"";""
"11";"Guillermo";"Toro";"0000-00-00";"";""
"12";"Christopher";"McQuarrie";"0000-00-00";"";""
"13";"Shinji";"Higuchi";"0000-00-00";"";""
"14";"Justin";"Kurzel";"0000-00-00";"";""
"15";"Paul";"Feig";"0000-00-00";"";""
"16";"Alfonso";"Gomez-Rejon";"0000-00-00";"";""
"17";"Brian";"Helgeland";"0000-00-00";"";""
"18";"Wes";"Ball";"0000-00-00";"";""
"19";"John";"Wells";"0000-00-00";"";""
"20";"Danny";"Boyle";"0000-00-00";"";""
"30";"James";"Vanderbilt";"0000-00-00";"";""
"31";"John";"Daley";"0000-00-00";"";""
"32";"Gregory";"Jacobs";"0000-00-00";"";""
"33";"James";"Gunn";"0000-00-00";"";""
"34";"James";"Wan";"0000-00-00";"";""
"35";"Jim";"Sharman";"0000-00-00";"";""
"36";"Stanton";"Barrett";"0000-00-00";"";""
"37";"Lee";"Krieger";"0000-00-00";"";""
"38";"Breck";"Eisner";"0000-00-00";"";""
"39";"Frank";"Darabont";"0000-00-00";"";""
"40";"Alex";"Kendrick";"0000-00-00";"";""
"41";"Alex";"Garland";"0000-00-00";"";""
"42";"Uli";"Edel";"0000-00-00";"";""
"43";"Matt";"Duffer";"0000-00-00";"";""
"44";"Reed";"Morano";"0000-00-00";"";""
"45";"Guy";"Ritchie";"0000-00-00";"";""
"46";"Rob";"Letterman";"0000-00-00";"";""
"47";"Christopher";"Nolan";"0000-00-00";"";""
"48";"Robert";"Schwentke";"0000-00-00";"";""
"49";"Josh";"Trank";"0000-00-00";"";""
"50";"James";"Cameron";"0000-00-00";"";""
"51";"Ramin";"Bahrani";"0000-00-00";"";""
"52";"Cameron";"Crowe";"0000-00-00";"";""
"53";"Martin";"Scorsese";"0000-00-00";"";""
"54";"Kyle";"Balda";"0000-00-00";"";""
"55";"Jonathan";"Milott";"0000-00-00";"";""
"56";"Chris";"Columbus";"0000-00-00";"";""
"57";"Baz";"Luhrmann";"0000-00-00";"";""
"58";"Christian";"Cantamessa";"0000-00-00";"";""
"59";"Leigh";"Whannell";"0000-00-00";"";""
"60";"George";"Lucas";"0000-00-00";"";""
"61";"Stanley";"Kubrick";"0000-00-00";"";""
"62";"Jason";"Moore";"0000-00-00";"";""
"63";"Jonathan";"Glazer";"0000-00-00";"";""
"64";"Neil";"Burger";"0000-00-00";"";""
"65";"Peter";"Sollett";"0000-00-00";"";""
"66";"Christopher";"Landon";"0000-00-00";"";""
"67";"Michael";"Dougherty";"0000-00-00";"";""
"68";"Judd";"Apatow";"0000-00-00";"";""
"69";"Scott";"Mann";"0000-00-00";"";""
"70";"Camille";"Delamarre";"0000-00-00";"";""
"71";"Peter";"Bogdanovich";"0000-00-00";"";""
"72";"Roland";"Emmerich";"0000-00-00";"";""
"73";"David";"Fincher";"0000-00-00";"";""
"74";"Jon";"Watts";"0000-00-00";"";""
"75";"Anna";"Boden";"0000-00-00";"";""
"76";"Ericson";"Core";"0000-00-00";"";""
"77";"Nima";"Nourizadeh";"0000-00-00";"";""
"78";"Zack";"Snyder";"0000-00-00";"";""
"79";"Bryan";"Singer";"0000-00-00";"";""
"80";"Rupert";"Goold";"0000-00-00";"";""
"81";"Alan";"Taylor";"0000-00-00";"";""
"82";"Randal";"Kleiser";"0000-00-00";"";""
"83";"Andy";"Wachowski";"0000-00-00";"";""
"84";"Sebastián";"Silva";"0000-00-00";"";""
"85";"Peter";"Jackson";"0000-00-00";"";""
"86";"Jean-Marc";"Vallée";"0000-00-00";"";""
"87";"Tim";"Johnson";"0000-00-00";"";""
"88";"Michaël";"Roskam";"0000-00-00";"";""
"89";"Doug";"Liman";"0000-00-00";"";""
"90";"Rob";"Reiner";"0000-00-00";"";""
"91";"Quentin";"Tarantino";"0000-00-00";"";""
"92";"Lars";"Trier";"0000-00-00";"";""
"93";"Thomas";"Vinterberg";"0000-00-00";"";""
"94";"Chris";"Buck";"0000-00-00";"";""
"95";"James";"Marsh";"0000-00-00";"";""
"96";"Levan";"Gabriadze";"0000-00-00";"";""
"97";"Dennis";"Dugan";"0000-00-00";"";""
"98";"Clint";"Eastwood";"0000-00-00";"";""
"99";"Jonathan";"Liebesman";"0000-00-00";"";""
"100";"Bill";"Pohlad";"0000-00-00";"";""
"101";"Wes";"Anderson";"0000-00-00";"";""
"102";"Gregory";"Plotkin";"0000-00-00";"";""
"103";"Samuel";"Bayer";"0000-00-00";"";""
"104";"Alfred";"Hitchcock";"0000-00-00";"";""
"105";"Josh";"Boone";"0000-00-00";"";""
"106";"Tate";"Taylor";"0000-00-00";"";""
"107";"Spike";"Jonze";"0000-00-00";"";""
"108";"Marcus";"Nispel";"0000-00-00";"";""
"109";"Wes";"Craven";"0000-00-00";"";""
"110";"Lenny";"Abrahamson";"0000-00-00";"";""
"111";"Grant";"Harvey";"0000-00-00";"";""
"112";"Ari";"Sandel";"0000-00-00";"";""
"113";"Prabhudheva";"Prabhudheva";"0000-00-00";"";""
"114";"Steven";"Spielberg";"0000-00-00";"";""
"115";"Jennifer";"Kent";"0000-00-00";"";""
"116";"Catherine";"Hardwicke";"0000-00-00";"";""
"117";"Michael";"Polish";"0000-00-00";"";""
"118";"R.J.";"Cutler";"0000-00-00";"";""
